ad37cd61-e030-4315-9301-0f6748f1aeaa,Johann Gilstin,Philippines,jgilstin0@ox.ac.uk,181-472-8432
f7657cde-b782-4af6-ab21-b4002b063049,Ora Libbey,Philippines,olibbey1@jigsy.com,756-706-4710
2a029a12-f010-416f-ada2-f033a49a81c5,Hiram Luck,Egypt,hluck2@microsoft.com,118-412-0977
d64002e9-2039-4cd3-b94f-d4ef1c735cd4,Mack Simoncelli,Thailand,msimoncelli3@scribd.com,206-680-4479
f370e377-a166-493c-9447-ed5ba60d63f0,Laurent Dysart,Philippines,ldysart4@free.fr,111-282-2284
3857a037-d4d7-415a-a16f-7081a916e738,Nat Jerram,China,njerram5@naver.com,223-887-5656
c5cd9579-bad8-492c-b541-0f14bda2faec,Marysa Lytlle,Sweden,mlytlle6@slideshare.net,941-581-5897
53c4ca0f-f9d8-4560-919f-62dbb493b2cc,Fin Ludovici,Philippines,fludovici7@zimbio.com,304-760-6275
6d1b7cbc-42ed-49d7-8015-d8a7e23afc24,Jerrie Vant,France,jvant8@slate.com,545-141-4136
4a35f93d-04cc-4d02-aff0-8896b25a53d2,Emmaline Rodmell,Philippines,erodmell9@unicef.org,601-614-0056
